date,state,district,pincode,bio_age_5_17,bio_age_17_
2025-01-03,Haryana,mahendragarh,123029.0,280.0,577.0
2025-01-03,Bihar,madhepura,852121.0,144.0,369.0
2025-01-03,Jammu And Kashmir,punch,185101.0,643.0,1091.0
2025-01-03,Bihar,bhojpur,802158.0,256.0,980.0
2025-01-03,Tamil Nadu,madurai,625514.0,271.0,815.0
2025-01-03,Maharashtra,ratnagiri,416702.0,155.0,529.0
2025-01-03,Gujarat,anand,388130.0,75.0,143.0
2025-01-03,Gujarat,gandhinagar,382421.0,192.0,298.0
2025-01-03,Odisha,dhenkanal,759025.0,122.0,214.0
2025-01-03,Gujarat,valsad,396055.0,67.0,85.0
2025-01-03,Tamil Nadu,salem,636119.0,103.0,63.0
2025-01-03,West Bengal,hooghly,712414.0,91.0,97.0
2025-01-03,West Bengal,paschim medinipur,721147.0,86.0,116.0
2025-01-03,Kerala,wayanad,670721.0,75.0,293.0
2025-01-03,Rajasthan,sawai madhopur,322027.0,108.0,300.0
2025-01-03,Bihar,vaishali,844504.0,426.0,958.0
2025-01-03,Tamil Nadu,karur,639105.0,131.0,103.0
2025-01-03,Punjab,rupnagar,140118.0,38.0,97.0
2025-01-03,Gujarat,sabarkantha,383440.0,56.0,91.0
2025-01-03,Himachal Pradesh,una,177039.0,24.0,30.0
2025-01-03,Rajasthan,bhilwara,311805.0,52.0,64.0
2025-01-03,Uttar Pradesh,bara banki,225408.0,17.0,3.0
2025-01-03,Assam,cachar,788106.0,21.0,24.0
2025-01-03,Uttarakhand,dehradun,248146.0,13.0,17.0
2025-01-03,Himachal Pradesh,chamba,176302.0,83.0,101.0
2025-01-03,Madhya Pradesh,shajapur,465339.0,234.0,153.0
2025-01-03,Tamil Nadu,the nilgiris,643231.0,53.0,59.0
2025-01-03,Maharashtra,wardha,442101.0,269.0,538.0
2025-01-03,Odisha,nabarangapur,764075.0,438.0,605.0
2025-01-03,Punjab,shaheed bhagat singh nagar,144514.0,134.0,249.0
2025-01-03,Karnataka,davangere,577002.0,219.0,386.0
2025-01-03,Gujarat,dahod,389382.0,341.0,569.0
2025-01-03,Tamil Nadu,tiruppur,641654.0,307.0,415.0
2025-01-03,Haryana,mahendragarh,123001.0,454.0,730.0
2025-01-03,Andhra Pradesh,vizianagaram,535592.0,77.0,72.0
2025-01-03,Punjab,moga,142041.0,69.0,138.0
2025-01-03,Gujarat,rajkot,363630.0,17.0,79.0
2025-01-03,Telangana,hyderabad,500013.0,581.0,654.0
2025-01-03,Odisha,sundergarh,769004.0,152.0,186.0
2025-01-03,Andhra Pradesh,kurnool,518385.0,291.0,138.0
2025-01-03,Kerala,wayanad,673121.0,130.0,225.0
2025-01-03,Andhra Pradesh,warangal,506163.0,39.0,92.0
2025-01-03,Tamil Nadu,tirunelveli,627108.0,238.0,435.0
2025-01-03,Goa,south goa,403601.0,183.0,188.0
2025-01-03,Andhra Pradesh,anantapur,515301.0,83.0,105.0
2025-01-03,Kerala,thiruvananthapuram,695303.0,71.0,78.0
2025-01-03,Andhra Pradesh,srikakulam,532459.0,362.0,161.0
2025-01-03,Telangana,nizamabad,503164.0,399.0,120.0
2025-01-03,Odisha,cuttack,753003.0,40.0,112.0
2025-01-03,Rajasthan,baran,325216.0,438.0,580.0
2025-01-03,Andhra Pradesh,guntur,522329.0,126.0,55.0
2025-01-03,Karnataka,mysuru,571602.0,117.0,131.0
2025-01-03,West Bengal,purba medinipur,721441.0,49.0,53.0
2025-01-03,Kerala,ernakulam,682508.0,48.0,64.0
2025-01-03,Madhya Pradesh,balaghat,481335.0,328.0,401.0
2025-01-03,Tamil Nadu,sivaganga,630106.0,59.0,58.0
2025-01-03,Bihar,bhojpur,802164.0,165.0,311.0
2025-01-03,Tamil Nadu,tirunelveli,627761.0,46.0,36.0
2025-01-03,Madhya Pradesh,harda *,461441.0,30.0,143.0
2025-01-03,Nagaland,mokokchung,798613.0,18.0,70.0
2025-01-03,Karnataka,uttara kannada,581344.0,15.0,7.0
2025-01-03,Tamil Nadu,perambalur,621113.0,198.0,80.0
2025-01-03,Karnataka,udupi,574114.0,16.0,16.0
2025-01-03,Andhra Pradesh,ananthapur,515261.0,58.0,11.0
2025-01-03,Tamil Nadu,coimbatore,642104.0,55.0,55.0
2025-01-03,Jharkhand,west singhbhum,833213.0,93.0,70.0
2025-01-03,Karnataka,tumakuru,572225.0,16.0,3.0
2025-01-03,West Bengal,birbhum,731244.0,46.0,52.0
2025-01-03,Andhra Pradesh,visakhapatnam,530045.0,50.0,134.0
2025-01-03,Uttar Pradesh,hardoi,241406.0,803.0,216.0
2025-01-03,Uttar Pradesh,siddharthnagar,272205.0,857.0,272.0
