date,state,district,pincode,demo_age_5_17,demo_age_17_
2025-11-18,Karnataka,hasan,573118,0.0,2.0
2025-11-18,Karnataka,hasan,573124,1.0,3.0
2025-11-18,Karnataka,hasan,573150,0.0,2.0
2025-11-18,Karnataka,hassan,573113,0.0,1.0
2025-11-18,Karnataka,hassan,573120,1.0,4.0
2025-11-18,Karnataka,hassan,573121,1.0,2.0
2025-11-18,Karnataka,hassan,573124,0.0,3.0
2025-11-18,Karnataka,hassan,573129,0.0,3.0
2025-11-18,Karnataka,hassan,573150,0.0,0.0
2025-11-18,Karnataka,hassan,573165,0.0,1.0
2025-11-18,Karnataka,hassan,573211,2.0,11.0
2025-11-18,Karnataka,hassan,573218,1.0,1.0
2025-11-18,Karnataka,hassan,573219,0.0,3.0
2025-11-18,Karnataka,hassan,573220,0.0,6.0
2025-11-18,Karnataka,haveri,581102,1.0,5.0
2025-11-18,Karnataka,haveri,581106,0.0,9.0
2025-11-18,Karnataka,haveri,581128,0.0,1.0
2025-11-18,Karnataka,haveri,581205,3.0,7.0
2025-11-18,Karnataka,haveri *,581104,1.0,0.0
2025-11-18,Karnataka,kalaburagi,585103,3.0,8.0
2025-11-18,Karnataka,kalaburagi,585236,2.0,2.0
2025-11-18,Karnataka,kalaburagi,585316,0.0,4.0
2025-11-18,Karnataka,kalaburagi,585324,0.0,2.0
2025-11-18,Karnataka,kodagu,571201,0.0,10.0
2025-11-18,Karnataka,kodagu,571215,0.0,1.0
2025-11-18,Karnataka,kodagu,571219,0.0,3.0
2025-11-18,Karnataka,kodagu,571248,0.0,5.0
2025-11-18,Karnataka,kodagu,571254,1.0,0.0
2025-11-18,Karnataka,kolar,563101,4.0,40.0
2025-11-18,Karnataka,kolar,563113,0.0,4.0
2025-11-18,Karnataka,kolar,563127,0.0,2.0
2025-11-18,Karnataka,kolar,563132,3.0,9.0
2025-11-18,Karnataka,kolar,563137,2.0,7.0
2025-11-18,Karnataka,kolar,563162,2.0,5.0
2025-11-18,Karnataka,koppal,583278,0.0,5.0
2025-11-18,Karnataka,koppal,583283,0.0,12.0
2025-11-18,Karnataka,mandya,571401,0.0,14.0
2025-11-18,Karnataka,mandya,571403,2.0,9.0
2025-11-18,Karnataka,mandya,571427,1.0,1.0
2025-11-18,Karnataka,mandya,571429,0.0,5.0
2025-11-18,Karnataka,mandya,571430,0.0,10.0
2025-11-18,Karnataka,mandya,571455,0.0,2.0
2025-11-18,Karnataka,mysore,570001,1.0,2.0
2025-11-18,Karnataka,mysore,570010,0.0,2.0
2025-11-18,Karnataka,mysore,570014,0.0,1.0
2025-11-18,Karnataka,mysore,570019,0.0,9.0
2025-11-18,Karnataka,mysore,571114,0.0,4.0
2025-11-18,Karnataka,mysore,571130,0.0,1.0
2025-11-18,Karnataka,mysore,571189,0.0,3.0
2025-11-18,Karnataka,mysore,571301,0.0,2.0
2025-11-18,Karnataka,mysore,571302,0.0,1.0
2025-11-18,Karnataka,mysore,571311,0.0,2.0
2025-11-18,Karnataka,mysore,571315,0.0,2.0
2025-11-18,Karnataka,mysore,571604,1.0,2.0
2025-11-18,Karnataka,mysuru,570015,1.0,6.0
2025-11-18,Karnataka,mysuru,570017,0.0,2.0
2025-11-18,Karnataka,mysuru,570018,1.0,1.0
2025-11-18,Karnataka,mysuru,570022,0.0,5.0
2025-11-18,Karnataka,mysuru,570024,0.0,0.0
2025-11-18,Karnataka,mysuru,571119,0.0,1.0
2025-11-18,Karnataka,mysuru,571124,0.0,3.0
2025-11-18,Karnataka,mysuru,571125,0.0,1.0
2025-11-18,Karnataka,mysuru,571602,1.0,4.0
2025-11-18,Karnataka,raichur,584102,1.0,5.0
2025-11-18,Karnataka,raichur,584103,1.0,5.0
2025-11-18,Karnataka,raichur,584116,1.0,11.0
2025-11-18,Karnataka,raichur,584124,2.0,3.0
2025-11-18,Karnataka,raichur,584143,0.0,8.0
2025-11-18,Karnataka,ramanagar,562128,0.0,2.0
2025-11-18,Karnataka,shimoga,577201,1.0,11.0
2025-11-18,Karnataka,shimoga,577202,0.0,4.0
2025-11-18,Karnataka,shimoga,577214,0.0,1.0
2025-11-18,Karnataka,shimoga,577225,0.0,1.0
2025-11-18,Karnataka,shimoga,577243,0.0,3.0
2025-11-18,Karnataka,shimoga,577301,0.0,12.0
2025-11-18,Karnataka,shimoga,577415,0.0,3.0
2025-11-18,Karnataka,shimoga,577433,0.0,3.0
2025-11-18,Karnataka,shimoga,577434,0.0,1.0
2025-11-18,Karnataka,shimoga,577453,0.0,1.0
2025-11-18,Karnataka,shivamogga,577115,0.0,1.0
2025-11-18,Karnataka,shivamogga,577205,1.0,5.0
2025-11-18,Karnataka,shivamogga,577214,0.0,3.0
2025-11-18,Karnataka,shivamogga,577216,1.0,2.0
2025-11-18,Karnataka,shivamogga,577245,0.0,1.0
2025-11-18,Karnataka,shivamogga,577416,0.0,1.0
2025-11-18,Karnataka,shivamogga,577417,0.0,1.0
2025-11-18,Karnataka,shivamogga,577427,0.0,10.0
2025-11-18,Karnataka,tumakuru,572105,0.0,5.0
2025-11-18,Karnataka,tumakuru,572107,0.0,1.0
2025-11-18,Karnataka,tumakuru,572132,0.0,3.0
2025-11-18,Karnataka,tumakuru,572133,0.0,2.0
2025-11-18,Karnataka,tumakuru,572213,0.0,6.0
2025-11-18,Karnataka,tumakuru,572224,1.0,1.0
2025-11-18,Karnataka,tumkur,572101,2.0,2.0
2025-11-18,Karnataka,tumkur,572112,1.0,3.0
2025-11-18,Karnataka,tumkur,572114,0.0,3.0
2025-11-18,Karnataka,tumkur,572117,0.0,5.0
2025-11-18,Karnataka,tumkur,572118,0.0,2.0
2025-11-18,Karnataka,tumkur,572119,0.0,3.0
2025-11-18,Karnataka,tumkur,572126,0.0,2.0
2025-11-18,Karnataka,tumkur,572138,0.0,2.0
2025-11-18,Karnataka,tumkur,572141,0.0,5.0
2025-11-18,Karnataka,tumkur,572214,0.0,3.0
2025-11-18,Karnataka,tumkur,572215,0.0,1.0
2025-11-18,Karnataka,udupi,574103,1.0,2.0
2025-11-18,Karnataka,udupi,574106,0.0,4.0
2025-11-18,Karnataka,udupi,574107,0.0,2.0
2025-11-18,Karnataka,udupi,574114,0.0,2.0
2025-11-18,Karnataka,udupi,574116,1.0,3.0
2025-11-18,Karnataka,udupi,576104,0.0,2.0
2025-11-18,Karnataka,udupi,576106,0.0,1.0
2025-11-18,Karnataka,udupi,576108,0.0,1.0
2025-11-18,Karnataka,udupi,576113,0.0,6.0
2025-11-18,Karnataka,udupi,576121,0.0,2.0
2025-11-18,Karnataka,udupi,576213,0.0,9.0
2025-11-18,Karnataka,udupi,576218,1.0,0.0
2025-11-18,Karnataka,udupi,576234,0.0,1.0
2025-11-18,Karnataka,udupi,576257,0.0,3.0
2025-11-18,Karnataka,udupi,576283,0.0,1.0
2025-11-18,Karnataka,uttara kannada,581320,3.0,9.0
2025-11-18,Karnataka,uttara kannada,581322,0.0,2.0
2025-11-18,Karnataka,uttara kannada,581325,1.0,9.0
2025-11-18,Karnataka,uttara kannada,581336,0.0,1.0
2025-11-18,Karnataka,uttara kannada,581337,0.0,2.0
2025-11-18,Karnataka,uttara kannada,581339,0.0,3.0
2025-11-18,Karnataka,uttara kannada,581349,0.0,8.0
2025-11-18,Karnataka,uttara kannada,581357,0.0,1.0
2025-11-18,Karnataka,uttara kannada,581384,0.0,2.0
2025-11-18,Karnataka,uttara kannada,581412,0.0,1.0
2025-11-18,Karnataka,vijayanagara,583125,2.0,4.0
2025-11-18,Karnataka,vijayanagara,583216,1.0,1.0
2025-11-18,Karnataka,vijayanagara,583221,1.0,0.0
2025-11-18,Karnataka,vijayapura,586101,1.0,21.0
2025-11-18,Karnataka,vijayapura,586108,1.0,7.0
2025-11-18,Karnataka,vijayapura,586112,2.0,2.0
2025-11-18,Karnataka,vijayapura,586125,1.0,3.0
2025-11-18,Karnataka,vijayapura,586126,1.0,0.0
2025-11-18,Karnataka,vijayapura,586127,1.0,0.0
2025-11-18,Karnataka,vijayapura,586128,1.0,9.0
2025-11-18,Karnataka,vijayapura,586130,1.0,2.0
2025-11-18,Karnataka,vijayapura,586208,0.0,3.0
2025-11-18,Karnataka,yadgir,585215,5.0,7.0
2025-11-18,Karnataka,yadgir,585216,1.0,15.0
2025-11-18,Karnataka,yadgir,585287,1.0,3.0
2025-11-18,Karnataka,yadgir,585304,0.0,4.0
2025-11-18,Karnataka,yadgir,585309,4.0,5.0
2025-11-18,Karnataka,yadgir,585202,0.0,4.0
2025-11-18,Karnataka,yadgir,585304,0.0,1.0
2025-11-18,Karnataka,yadgir,585355,0.0,1.0
2025-11-18,Kerala,alappuzha,688001,0.0,5.0
2025-11-18,Kerala,alappuzha,688006,0.0,9.0
2025-11-18,Kerala,alappuzha,688008,0.0,2.0
2025-11-18,Kerala,alappuzha,688012,0.0,2.0
2025-11-18,Kerala,alappuzha,688013,0.0,2.0
2025-11-18,Kerala,alappuzha,688503,0.0,3.0
2025-11-18,Kerala,alappuzha,688532,0.0,3.0
2025-11-18,Kerala,alappuzha,688541,0.0,4.0
2025-11-18,Kerala,alappuzha,689505,0.0,1.0
2025-11-18,Kerala,alappuzha,689509,0.0,4.0
2025-11-18,Kerala,alappuzha,689573,0.0,2.0
2025-11-18,Kerala,alappuzha,690101,0.0,1.0
2025-11-18,Kerala,alappuzha,690509,0.0,3.0
2025-11-18,Kerala,alappuzha,690515,0.0,6.0
2025-11-18,Kerala,alappuzha,690531,0.0,1.0
2025-11-18,Kerala,alappuzha,690533,0.0,1.0
2025-11-18,Kerala,alappuzha,690534,1.0,0.0
2025-11-18,Kerala,alappuzha,690535,0.0,4.0
2025-11-18,Kerala,alappuzha,690558,0.0,3.0
2025-11-18,Kerala,ernakulam,682001,0.0,7.0
2025-11-18,Kerala,ernakulam,682015,0.0,1.0
2025-11-18,Kerala,ernakulam,682016,0.0,1.0
2025-11-18,Kerala,ernakulam,682022,0.0,5.0
2025-11-18,Kerala,ernakulam,682023,0.0,6.0
2025-11-18,Kerala,ernakulam,682027,1.0,7.0
2025-11-18,Kerala,ernakulam,682303,0.0,3.0
2025-11-18,Kerala,ernakulam,682316,0.0,2.0
2025-11-18,Kerala,ernakulam,682509,0.0,3.0
2025-11-18,Kerala,ernakulam,683106,0.0,5.0
2025-11-18,Kerala,ernakulam,683512,0.0,6.0
2025-11-18,Kerala,ernakulam,683516,0.0,4.0
2025-11-18,Kerala,ernakulam,683517,0.0,6.0
2025-11-18,Kerala,ernakulam,683541,0.0,4.0
2025-11-18,Kerala,ernakulam,683542,0.0,6.0
2025-11-18,Kerala,ernakulam,683544,0.0,8.0
2025-11-18,Kerala,ernakulam,683545,1.0,6.0
2025-11-18,Kerala,ernakulam,683546,0.0,2.0
2025-11-18,Kerala,ernakulam,683563,0.0,4.0
2025-11-18,Kerala,ernakulam,683565,0.0,2.0
2025-11-18,Kerala,ernakulam,683575,0.0,2.0
2025-11-18,Kerala,ernakulam,683578,0.0,1.0
2025-11-18,Kerala,ernakulam,683587,0.0,1.0
2025-11-18,Kerala,ernakulam,686663,0.0,2.0
2025-11-18,Kerala,ernakulam,686667,0.0,3.0
2025-11-18,Kerala,ernakulam,686673,4.0,19.0
2025-11-18,Kerala,ernakulam,686691,1.0,26.0
2025-11-18,Kerala,ernakulam,686693,0.0,7.0
2025-11-18,Kerala,idukki,685501,0.0,2.0
2025-11-18,Kerala,idukki,685508,0.0,2.0
2025-11-18,Kerala,idukki,685532,0.0,2.0
2025-11-18,Kerala,idukki,685533,0.0,8.0
2025-11-18,Kerala,idukki,685565,1.0,1.0
2025-11-18,Kerala,idukki,685571,0.0,3.0
2025-11-18,Kerala,idukki,685604,0.0,2.0
2025-11-18,Kerala,idukki,685605,0.0,2.0
2025-11-18,Kerala,idukki,685606,0.0,3.0
2025-11-18,Kerala,idukki,685612,0.0,5.0
2025-11-18,Kerala,idukki,685615,0.0,1.0
2025-11-18,Kerala,idukki,685619,0.0,1.0
2025-11-18,Kerala,kannur,670008,0.0,2.0
2025-11-18,Kerala,kannur,670105,0.0,6.0
2025-11-18,Kerala,kannur,670107,0.0,2.0
2025-11-18,Kerala,kannur,670304,1.0,4.0
2025-11-18,Kerala,kannur,670503,0.0,1.0
2025-11-18,Kerala,kannur,670521,0.0,5.0
2025-11-18,Kerala,kannur,670591,1.0,8.0
2025-11-18,Kerala,kannur,670592,2.0,10.0
2025-11-18,Kerala,kannur,670593,1.0,6.0
2025-11-18,Kerala,kannur,670601,2.0,5.0
2025-11-18,Kerala,kannur,670611,0.0,4.0
2025-11-18,Kerala,kannur,670643,0.0,9.0
2025-11-18,Kerala,kannur,670691,0.0,6.0
2025-11-18,Kerala,kannur,670692,0.0,12.0
2025-11-18,Kerala,kannur,670704,0.0,5.0
2025-11-18,Kerala,kannur,673313,0.0,2.0
2025-11-18,Kerala,kasaragod,671314,0.0,24.0
2025-11-18,Kerala,kasaragod,671326,0.0,1.0
2025-11-18,Kerala,kasaragod,671531,2.0,11.0
2025-11-18,Kerala,kasaragod,671542,1.0,4.0
2025-11-18,Kerala,kasargod,671310,0.0,1.0
2025-11-18,Kerala,kasargod,671314,0.0,1.0
2025-11-18,Kerala,kasargod,671322,0.0,2.0
2025-11-18,Kerala,kasargod,671533,0.0,7.0
2025-11-18,Kerala,kollam,690518,0.0,4.0
2025-11-18,Kerala,kollam,690521,1.0,10.0
2025-11-18,Kerala,kollam,690524,0.0,8.0
2025-11-18,Kerala,kollam,690526,0.0,2.0
2025-11-18,Kerala,kollam,690528,0.0,2.0
2025-11-18,Kerala,kollam,691002,0.0,1.0
2025-11-18,Kerala,kollam,691004,0.0,8.0
2025-11-18,Kerala,kollam,691008,0.0,1.0
2025-11-18,Kerala,kollam,691010,1.0,6.0
2025-11-18,Kerala,kollam,691011,1.0,7.0
2025-11-18,Kerala,kollam,691322,0.0,3.0
2025-11-18,Kerala,kollam,691334,0.0,3.0
2025-11-18,Kerala,kollam,691511,0.0,1.0
2025-11-18,Kerala,kollam,691520,0.0,4.0
2025-11-18,Kerala,kollam,691535,0.0,1.0
2025-11-18,Kerala,kollam,691540,1.0,1.0
2025-11-18,Kerala,kollam,691560,1.0,2.0
2025-11-18,Kerala,kollam,691571,0.0,4.0
2025-11-18,Kerala,kollam,691574,1.0,4.0
2025-11-18,Kerala,kollam,691576,0.0,6.0
2025-11-18,Kerala,kollam,691582,0.0,2.0
2025-11-18,Kerala,kottayam,686012,0.0,2.0
2025-11-18,Kerala,kottayam,686015,0.0,4.0
2025-11-18,Kerala,kottayam,686122,0.0,5.0
2025-11-18,Kerala,kottayam,686123,0.0,2.0
2025-11-18,Kerala,kottayam,686141,0.0,2.0
2025-11-18,Kerala,kottayam,686142,0.0,2.0
2025-11-18,Kerala,kottayam,686143,0.0,3.0
2025-11-18,Kerala,kottayam,686513,2.0,10.0
2025-11-18,Kerala,kottayam,686515,0.0,4.0
2025-11-18,Kerala,kottayam,686518,0.0,2.0
2025-11-18,Kerala,kottayam,686520,0.0,2.0
2025-11-18,Kerala,kottayam,686532,0.0,2.0
2025-11-18,Kerala,kottayam,686542,0.0,1.0
2025-11-18,Kerala,kottayam,686544,0.0,2.0
2025-11-18,Kerala,kottayam,686545,0.0,4.0
2025-11-18,Kerala,kottayam,686564,0.0,5.0
2025-11-18,Kerala,kottayam,686571,0.0,1.0
2025-11-18,Kerala,kottayam,686582,0.0,2.0
2025-11-18,Kerala,kottayam,686584,0.0,1.0
2025-11-18,Kerala,kottayam,686613,0.0,3.0
2025-11-18,Kerala,kozhikode,673002,0.0,3.0
2025-11-18,Kerala,kozhikode,673003,0.0,15.0
2025-11-18,Kerala,kozhikode,673012,0.0,9.0
2025-11-18,Kerala,kozhikode,673017,0.0,3.0
2025-11-18,Kerala,kozhikode,673027,0.0,9.0
2025-11-18,Kerala,kozhikode,673308,0.0,5.0
2025-11-18,Kerala,kozhikode,673317,0.0,10.0
2025-11-18,Kerala,kozhikode,673323,0.0,1.0
2025-11-18,Kerala,kozhikode,673501,0.0,9.0
2025-11-18,Kerala,kozhikode,673505,0.0,5.0
2025-11-18,Kerala,kozhikode,673507,2.0,20.0
2025-11-18,Kerala,kozhikode,673508,3.0,19.0
2025-11-18,Kerala,kozhikode,673521,0.0,8.0
2025-11-18,Kerala,kozhikode,673574,0.0,9.0
2025-11-18,Kerala,kozhikode,673633,0.0,3.0
2025-11-18,Kerala,malappuram,673632,0.0,1.0
2025-11-18,Kerala,malappuram,673638,1.0,60.0
2025-11-18,Kerala,malappuram,673639,1.0,28.0
2025-11-18,Kerala,malappuram,676102,0.0,30.0
2025-11-18,Kerala,malappuram,676106,0.0,20.0
2025-11-18,Kerala,malappuram,676301,0.0,30.0
2025-11-18,Kerala,malappuram,676302,2.0,24.0
2025-11-18,Kerala,malappuram,676306,0.0,52.0
2025-11-18,Kerala,malappuram,676307,1.0,43.0
2025-11-18,Kerala,malappuram,676317,0.0,18.0
2025-11-18,Kerala,malappuram,676319,0.0,16.0
2025-11-18,Kerala,malappuram,676320,1.0,21.0
2025-11-18,Kerala,malappuram,676501,0.0,18.0
2025-11-18,Kerala,malappuram,676504,0.0,5.0
2025-11-18,Kerala,malappuram,676509,0.0,9.0
2025-11-18,Kerala,malappuram,676553,0.0,13.0
2025-11-18,Kerala,malappuram,679321,1.0,20.0
2025-11-18,Kerala,malappuram,679340,1.0,15.0
