date,state,district,pincode,age_0_5,age_5_17,age_18_greater
2025-12-31,Karnataka,bidar,585330.0,2.0,3.0,0.0
2025-12-31,Karnataka,bidar,585402.0,6.0,0.0,0.0
2025-12-31,Karnataka,bidar,585413.0,1.0,0.0,0.0
2025-12-31,Karnataka,bidar,585418.0,1.0,2.0,0.0
2025-12-31,Karnataka,bidar,585421.0,4.0,3.0,0.0
2025-12-31,Karnataka,bidar,585437.0,2.0,2.0,0.0
2025-12-31,Karnataka,bidar,585443.0,1.0,3.0,0.0
2025-12-31,Karnataka,bijapur,586113.0,1.0,0.0,0.0
2025-12-31,Karnataka,bijapur,586116.0,1.0,1.0,0.0
2025-12-31,Karnataka,bijapur,586119.0,3.0,1.0,0.0
2025-12-31,Karnataka,bijapur,586122.0,2.0,0.0,0.0
2025-12-31,Karnataka,bijapur,586123.0,4.0,2.0,0.0
2025-12-31,Karnataka,bijapur,586212.0,1.0,0.0,0.0
2025-12-31,Karnataka,bijapur,586213.0,1.0,0.0,0.0
2025-12-31,Karnataka,bijapur,586217.0,2.0,0.0,0.0
2025-12-31,Karnataka,chamrajanagar,571127.0,1.0,0.0,0.0
2025-12-31,Karnataka,chamrajanagar,571439.0,2.0,0.0,0.0
2025-12-31,Karnataka,chamrajanagar,571442.0,1.0,0.0,0.0
2025-12-31,Karnataka,chamrajnagar,571312.0,1.0,0.0,0.0
2025-12-31,Karnataka,chickmagalur,577132.0,0.0,1.0,0.0
2025-12-31,Karnataka,chickmagalur,577144.0,1.0,0.0,0.0
2025-12-31,Karnataka,chickmagalur,577182.0,1.0,0.0,0.0
2025-12-31,Karnataka,chickmagalur,577548.0,1.0,1.0,0.0
2025-12-31,Karnataka,chikkaballapur,562102.0,3.0,0.0,0.0
2025-12-31,Karnataka,chikkaballapur,563128.0,6.0,1.0,0.0
2025-12-31,Karnataka,chikkaballapur,563146.0,6.0,1.0,0.0
2025-12-31,Karnataka,chikkamagaluru,577128.0,1.0,0.0,0.0
